_Annual_J-D_2019_____________ L-OTI(^S^o^N^C) Anomaly vs 2000-2001              
   i   j     lon     lat    array(i,j)
  61   2  -59.00  -87.00        0.9754
  62   2  -57.00  -87.00        0.9754
  63   2  -55.00  -87.00        0.9754
  64   2  -53.00  -87.00        0.9754
  65   2  -51.00  -87.00        0.9754
  66   2  -49.00  -87.00        0.9754
  67   2  -47.00  -87.00        0.9754
  68   2  -45.00  -87.00        0.9754
  69   2  -43.00  -87.00        0.9754
  70   2  -41.00  -87.00        0.9754
  71   2  -39.00  -87.00        0.9754
  72   2  -37.00  -87.00        0.9754
  73   2  -35.00  -87.00        0.9754
  74   2  -33.00  -87.00        0.9754
  75   2  -31.00  -87.00        0.9754
  76   2  -29.00  -87.00        0.9754
  77   2  -27.00  -87.00        0.9754
  78   2  -25.00  -87.00        0.9754
  79   2  -23.00  -87.00        0.9754
  80   2  -21.00  -87.00        0.9754
  81   2  -19.00  -87.00        0.9754
  82   2  -17.00  -87.00        0.9754
  83   2  -15.00  -87.00        0.9754
  84   2  -13.00  -87.00        0.9754
  85   2  -11.00  -87.00        0.9754
  86   2   -9.00  -87.00        0.9754
  87   2   -7.00  -87.00        0.9754
  88   2   -5.00  -87.00        0.9754
  89   2   -3.00  -87.00        0.9754
  90   2   -1.00  -87.00        0.9754
  91   2    1.00  -87.00        0.9754
  92   2    3.00  -87.00        0.9754
  93   2    5.00  -87.00        0.9754
  94   2    7.00  -87.00        0.9754
  95   2    9.00  -87.00        0.9754
  96   2   11.00  -87.00        0.9754
  97   2   13.00  -87.00        0.9754
  98   2   15.00  -87.00        0.9754
  99   2   17.00  -87.00        0.9754
 100   2   19.00  -87.00        0.9754
 101   2   21.00  -87.00        0.9754
 102   2   23.00  -87.00        0.9754
 103   2   25.00  -87.00        0.9754
 104   2   27.00  -87.00        0.9754
 105   2   29.00  -87.00        0.9754
 106   2   31.00  -87.00        0.9754
 107   2   33.00  -87.00        0.9754
 108   2   35.00  -87.00        0.9754
 109   2   37.00  -87.00        0.9754
 110   2   39.00  -87.00        0.9754
 111   2   41.00  -87.00        0.9754
 112   2   43.00  -87.00        0.9754
 113   2   45.00  -87.00        0.9754
 114   2   47.00  -87.00        0.9754
 115   2   49.00  -87.00        0.9754
 116   2   51.00  -87.00        0.9754
 117   2   53.00  -87.00        0.9754
 118   2   55.00  -87.00        0.9754
 119   2   57.00  -87.00        0.9754
 120   2   59.00  -87.00        0.9754
 121   2   61.00  -87.00        0.9754
 122   2   63.00  -87.00        0.9754
 123   2   65.00  -87.00        0.9754
 124   2   67.00  -87.00        0.9754
 125   2   69.00  -87.00        0.9754
 126   2   71.00  -87.00        0.9754
 127   2   73.00  -87.00        0.9754
 128   2   75.00  -87.00        0.9754
 129   2   77.00  -87.00        0.9754
 130   2   79.00  -87.00        0.9754
 131   2   81.00  -87.00        0.9754
 132   2   83.00  -87.00        0.9754
 133   2   85.00  -87.00        0.9754
 134   2   87.00  -87.00        0.9754
 135   2   89.00  -87.00        0.9754
 136   2   91.00  -87.00        0.9754
 137   2   93.00  -87.00        0.9754
 138   2   95.00  -87.00        0.9754
 139   2   97.00  -87.00        0.9754
 140   2   99.00  -87.00        0.9754
 141   2  101.00  -87.00        0.9754
 142   2  103.00  -87.00        0.9754
 143   2  105.00  -87.00        0.9754
 144   2  107.00  -87.00        0.9754
 145   2  109.00  -87.00        0.9754
 146   2  111.00  -87.00        0.9754
 147   2  113.00  -87.00        0.9754
 148   2  115.00  -87.00        0.9754
 149   2  117.00  -87.00        0.9754
